,Model,Task,Difficulty,Target_Params,Actual_Params,Seed,Category,Best_Val_Score,Test_Score,model,LR
194,ESN,simple_copy,small,10000,3000,4,classification,,0.0004545454545454,esn_10k_small,
195,ESN,simple_copy,small,10000,3000,5,classification,,0.0,esn_10k_small,
196,ESN,simple_copy,small,10000,3000,6,classification,,0.0004545454545454,esn_10k_small,
197,ESN,simple_copy,small,10000,3000,7,classification,,0.0004545454545454,esn_10k_small,
198,ESN,simple_copy,small,10000,3000,8,classification,,0.0,esn_10k_small,
199,ESN,simple_copy,small,10000,3000,9,classification,,0.0018181818181818,esn_10k_small,
200,ESN,selective_copy,small,10000,3000,0,classification,,0.4499999999999999,esn_10k_small,
201,ESN,selective_copy,small,10000,3000,1,classification,,0.418,esn_10k_small,
202,ESN,selective_copy,small,10000,3000,2,classification,,0.4479999999999999,esn_10k_small,
203,ESN,selective_copy,small,10000,3000,3,classification,,0.41,esn_10k_small,
204,ESN,selective_copy,small,10000,3000,4,classification,,0.4599999999999999,esn_10k_small,
205,ESN,selective_copy,small,10000,3000,5,classification,,0.4539999999999999,esn_10k_small,
206,ESN,selective_copy,small,10000,3000,6,classification,,0.4439999999999999,esn_10k_small,
207,ESN,selective_copy,small,10000,3000,7,classification,,0.4639999999999999,esn_10k_small,
208,ESN,selective_copy,small,10000,3000,8,classification,,0.4459999999999999,esn_10k_small,
209,ESN,selective_copy,small,10000,3000,9,classification,,0.4499999999999999,esn_10k_small,
210,ESN,adding_problem,small,10000,5000,0,classification,,0.0,esn_10k_small,
211,ESN,adding_problem,small,10000,5000,1,classification,,0.02,esn_10k_small,
212,ESN,adding_problem,small,10000,5000,2,classification,,0.0899999999999999,esn_10k_small,
213,ESN,adding_problem,small,10000,5000,3,classification,,0.0,esn_10k_small,
214,ESN,adding_problem,small,10000,5000,4,classification,,0.0,esn_10k_small,
215,ESN,adding_problem,small,10000,5000,5,classification,,0.01,esn_10k_small,
216,ESN,adding_problem,small,10000,5000,6,classification,,0.0,esn_10k_small,
217,ESN,adding_problem,small,10000,5000,7,classification,,0.04,esn_10k_small,
218,ESN,adding_problem,small,10000,5000,8,classification,,0.01,esn_10k_small,
219,ESN,adding_problem,small,10000,5000,9,classification,,0.0,esn_10k_small,
220,ESN,sorting_problem,small,10000,3000,0,classification,,0.4579999999999999,esn_10k_small,
221,ESN,sorting_problem,small,10000,3000,1,classification,,0.476,esn_10k_small,
222,ESN,sorting_problem,small,10000,3000,2,classification,,0.4539999999999999,esn_10k_small,
223,ESN,sorting_problem,small,10000,3000,3,classification,,0.4579999999999999,esn_10k_small,
224,ESN,sorting_problem,small,10000,3000,4,classification,,0.4539999999999999,esn_10k_small,
225,ESN,sorting_problem,small,10000,3000,5,classification,,0.4589999999999999,esn_10k_small,
226,ESN,sorting_problem,small,10000,3000,6,classification,,0.43,esn_10k_small,
227,ESN,sorting_problem,small,10000,3000,7,classification,,0.47,esn_10k_small,
228,ESN,sorting_problem,small,10000,3000,8,classification,,0.4679999999999999,esn_10k_small,
